mode,iterations,parts,repeat,elapsed_ms,remote,correct
parallel,100,4,0,0.279,0,true
scatter-once,100,4,0,3.971,3,true
scatter,100,4,0,2.968,3,true
parallel,100,4,1,0.352,0,true
scatter-once,100,4,1,2.815,3,true
scatter,100,4,1,2.744,3,true
parallel,100,4,2,0.329,0,true
scatter-once,100,4,2,2.718,3,true
scatter,100,4,2,2.715,3,true
parallel,100,16,0,1.356,0,true
scatter-once,100,16,0,2.344,3,true
scatter,100,16,0,3.463,6,true
parallel,100,16,1,1.154,0,true
scatter-once,100,16,1,3.620,3,true
scatter,100,16,1,3.636,3,true
parallel,100,16,2,1.186,0,true
scatter-once,100,16,2,3.602,3,true
scatter,100,16,2,3.494,6,true
parallel,10000,4,0,20.375,0,true
scatter-once,10000,4,0,7.341,3,true
scatter,10000,4,0,7.827,3,true
parallel,10000,4,1,14.423,0,true
scatter-once,10000,4,1,6.259,3,true
scatter,10000,4,1,5.810,3,true
parallel,10000,4,2,12.253,0,true
scatter-once,10000,4,2,6.782,3,true
scatter,10000,4,2,6.704,3,true
parallel,10000,16,0,44.406,0,true
scatter-once,10000,16,0,37.688,3,true
scatter,10000,16,0,23.502,10,true
parallel,10000,16,1,44.226,0,true
scatter-once,10000,16,1,37.552,3,true
scatter,10000,16,1,22.179,10,true
parallel,10000,16,2,43.434,0,true
scatter-once,10000,16,2,36.847,3,true
scatter,10000,16,2,21.847,10,true
parallel,200000,4,0,216.190,0,true
scatter-once,200000,4,0,61.413,3,true
scatter,200000,4,0,63.883,3,true
parallel,200000,4,1,215.916,0,true
scatter-once,200000,4,1,63.684,3,true
scatter,200000,4,1,63.758,3,true
parallel,200000,4,2,217.280,0,true
scatter-once,200000,4,2,62.515,3,true
scatter,200000,4,2,61.849,3,true
parallel,200000,16,0,865.766,0,true
scatter-once,200000,16,0,708.570,3,true
scatter,200000,16,0,341.781,11,true
parallel,200000,16,1,868.285,0,true
scatter-once,200000,16,1,714.060,3,true
scatter,200000,16,1,339.238,10,true
parallel,200000,16,2,871.199,0,true
scatter-once,200000,16,2,704.710,3,true
scatter,200000,16,2,339.875,10,true
prime-parallel,20000,4,0,165.778,0,true
prime-scatter,20000,4,0,58.631,3,true
prime-parallel,20000,4,1,170.601,0,true
prime-scatter,20000,4,1,57.364,3,true
prime-parallel,20000,4,2,171.351,0,true
prime-scatter,20000,4,2,58.723,3,true
prime-parallel,20000,16,0,171.316,0,true
prime-scatter,20000,16,0,64.129,11,true
prime-parallel,20000,16,1,171.427,0,true
prime-scatter,20000,16,1,64.420,11,true
prime-parallel,20000,16,2,170.879,0,true
prime-scatter,20000,16,2,76.476,11,true
