mode,iterations,parts,repeat,elapsed_ms,remote,correct
parallel,100,4,0,0.526,0,true
scatter,100,4,0,5.064,3,true
parallel,100,4,1,0.436,0,true
scatter,100,4,1,4.794,3,true
parallel,100,4,2,0.429,0,true
scatter,100,4,2,5.763,3,true
parallel,100,16,0,1.865,0,true
scatter,100,16,0,3.715,3,true
parallel,100,16,1,1.711,0,true
scatter,100,16,1,3.365,3,true
parallel,100,16,2,3.976,0,true
scatter,100,16,2,3.746,3,true
parallel,10000,4,0,117.991,0,true
scatter,10000,4,0,74.777,3,true
parallel,10000,4,1,73.156,0,true
scatter,10000,4,1,20.016,3,true
parallel,10000,4,2,36.921,0,true
scatter,10000,4,2,17.451,3,true
parallel,10000,16,0,132.210,0,true
scatter,10000,16,0,109.906,3,true
parallel,10000,16,1,160.209,0,true
scatter,10000,16,1,166.911,3,true
parallel,10000,16,2,156.548,0,true
scatter,10000,16,2,122.857,3,true
parallel,1000000,4,0,4077.760,0,true
scatter,1000000,4,0,1049.056,3,true
parallel,1000000,4,1,3755.745,0,true
scatter,1000000,4,1,1037.603,3,true
parallel,1000000,4,2,3975.084,0,true
scatter,1000000,4,2,1247.253,3,true
parallel,1000000,16,0,10653.283,0,true
scatter,1000000,16,0,9551.211,3,true
parallel,1000000,16,1,10688.058,0,true
scatter,1000000,16,1,8537.828,3,true
parallel,1000000,16,2,13044.559,0,true
scatter,1000000,16,2,16673.697,3,true
