mode,iterations,parts,repeat,elapsed_ms,remote,correct
parallel,100,4,0,0.266,0,true
scatter-once,100,4,0,3.406,3,true
scatter,100,4,0,6.736,3,true
parallel,100,4,1,0.316,0,true
scatter-once,100,4,1,2.876,3,true
scatter,100,4,1,2.702,3,true
parallel,100,4,2,0.248,0,true
scatter-once,100,4,2,2.909,3,true
scatter,100,4,2,5.597,3,true
parallel,100,16,0,1.263,0,true
scatter-once,100,16,0,3.835,3,true
scatter,100,16,0,3.646,3,true
parallel,100,16,1,1.059,0,true
scatter-once,100,16,1,5.040,3,true
scatter,100,16,1,3.590,3,true
parallel,100,16,2,1.672,0,true
scatter-once,100,16,2,2.446,3,true
scatter,100,16,2,3.611,6,true
parallel,10000,4,0,25.861,0,true
scatter-once,10000,4,0,10.004,3,true
scatter,10000,4,0,8.962,3,true
parallel,10000,4,1,19.008,0,true
scatter-once,10000,4,1,7.508,3,true
scatter,10000,4,1,9.701,3,true
parallel,10000,4,2,19.015,0,true
scatter-once,10000,4,2,9.367,3,true
scatter,10000,4,2,8.740,3,true
parallel,10000,16,0,76.099,0,true
scatter-once,10000,16,0,62.800,3,true
scatter,10000,16,0,32.852,11,true
parallel,10000,16,1,75.598,0,true
scatter-once,10000,16,1,63.923,3,true
scatter,10000,16,1,37.324,10,true
parallel,10000,16,2,76.108,0,true
scatter-once,10000,16,2,64.215,3,true
scatter,10000,16,2,33.535,10,true
parallel,200000,4,0,372.423,0,true
scatter-once,200000,4,0,111.367,3,true
scatter,200000,4,0,110.797,3,true
parallel,200000,4,1,369.540,0,true
scatter-once,200000,4,1,110.128,3,true
scatter,200000,4,1,109.117,3,true
parallel,200000,4,2,372.730,0,true
scatter-once,200000,4,2,109.538,3,true
scatter,200000,4,2,116.687,3,true
parallel,200000,16,0,1492.653,0,true
scatter-once,200000,16,0,1241.489,3,true
scatter,200000,16,0,585.312,11,true
parallel,200000,16,1,1488.310,0,true
scatter-once,200000,16,1,1224.164,3,true
scatter,200000,16,1,596.580,11,true
parallel,200000,16,2,1484.934,0,true
scatter-once,200000,16,2,1222.392,3,true
scatter,200000,16,2,519.596,11,true
