mode,customers,tasks,repeat,elapsed_ms,remote,correct
serial,10000,12,0,2.394,0,true
threads,10000,12,0,1.659,0,true
mesh,10000,12,0,112.911,2,true
serial,10000,12,1,2.588,0,true
threads,10000,12,1,1.336,0,true
mesh,10000,12,1,92.626,2,true
serial,10000,12,2,1.969,0,true
threads,10000,12,2,3.054,0,true
mesh,10000,12,2,84.011,2,true
serial,1000000,12,0,76.249,0,true
threads,1000000,12,0,14.603,0,true
mesh,1000000,12,0,104.004,2,true
serial,1000000,12,1,38.206,0,true
threads,1000000,12,1,13.852,0,true
mesh,1000000,12,1,91.020,2,true
serial,1000000,12,2,39.972,0,true
threads,1000000,12,2,13.822,0,true
mesh,1000000,12,2,93.013,2,true
serial,10000000,12,0,375.187,0,true
threads,10000000,12,0,137.875,0,true
mesh,10000000,12,0,344.689,5,true
serial,10000000,12,1,373.559,0,true
threads,10000000,12,1,137.512,0,true
mesh,10000000,12,1,1295.523,4,true
serial,10000000,12,2,381.297,0,true
threads,10000000,12,2,137.538,0,true
mesh,10000000,12,2,256.525,4,true
serial,100000000,12,0,3791.385,0,true
threads,100000000,12,0,1536.752,0,true
mesh,100000000,12,0,2083.225,6,true
serial,100000000,12,1,3952.763,0,true
threads,100000000,12,1,1568.534,0,true
mesh,100000000,12,1,2027.356,6,true
serial,100000000,12,2,3960.298,0,true
threads,100000000,12,2,1377.906,0,true
mesh,100000000,12,2,2080.160,6,true
