mode,customers,tasks,repeat,elapsed_ms,remote,correct
serial,10000,12,0,3.242,0,true
threads,10000,12,0,2.644,0,true
mesh,10000,12,0,106.542,4,true
serial,10000,12,1,2.120,0,true
threads,10000,12,1,1.275,0,true
mesh,10000,12,1,106.046,4,true
serial,10000,12,2,2.607,0,true
threads,10000,12,2,1.384,0,true
mesh,10000,12,2,83.851,4,true
serial,1000000,12,0,69.691,0,true
threads,1000000,12,0,14.923,0,true
mesh,1000000,12,0,1097.635,4,true
serial,1000000,12,1,64.767,0,true
threads,1000000,12,1,15.114,0,true
mesh,1000000,12,1,115.796,4,true
serial,1000000,12,2,41.840,0,true
threads,1000000,12,2,14.927,0,true
mesh,1000000,12,2,105.900,4,true
serial,10000000,12,0,384.690,0,true
threads,10000000,12,0,141.720,0,true
mesh,10000000,12,0,247.659,7,true
serial,10000000,12,1,397.143,0,true
threads,10000000,12,1,137.850,0,true
mesh,10000000,12,1,297.298,7,true
serial,10000000,12,2,397.255,0,true
threads,10000000,12,2,140.115,0,true
mesh,10000000,12,2,293.270,7,true
serial,100000000,12,0,4054.665,0,true
threads,100000000,12,0,1374.692,0,true
mesh,100000000,12,0,1476.969,8,true
serial,100000000,12,1,3993.876,0,true
threads,100000000,12,1,1382.557,0,true
mesh,100000000,12,1,1479.019,8,true
serial,100000000,12,2,3992.865,0,true
threads,100000000,12,2,1390.490,0,true
mesh,100000000,12,2,1685.502,8,true
