mode,customers,tasks,repeat,elapsed_ms,remote,correct
serial,10000,12,0,2.833,0,true
threads,10000,12,0,1.391,0,true
mesh,10000,12,0,13.743,4,true
serial,10000,12,1,2.159,0,true
threads,10000,12,1,1.163,0,true
mesh,10000,12,1,13.346,4,true
serial,10000,12,2,2.169,0,true
threads,10000,12,2,1.501,0,true
mesh,10000,12,2,13.484,4,true
serial,1000000,12,0,69.659,0,true
threads,1000000,12,0,14.727,0,true
mesh,1000000,12,0,25.097,8,true
serial,1000000,12,1,37.690,0,true
threads,1000000,12,1,14.265,0,true
mesh,1000000,12,1,26.800,8,true
serial,1000000,12,2,37.424,0,true
threads,1000000,12,2,14.165,0,true
mesh,1000000,12,2,27.229,7,true
serial,10000000,12,0,382.200,0,true
threads,10000000,12,0,138.375,0,true
mesh,10000000,12,0,150.253,8,true
serial,10000000,12,1,395.281,0,true
threads,10000000,12,1,137.457,0,true
mesh,10000000,12,1,148.361,8,true
serial,10000000,12,2,397.138,0,true
threads,10000000,12,2,138.413,0,true
mesh,10000000,12,2,146.971,8,true
serial,100000000,12,0,3968.136,0,true
threads,100000000,12,0,1443.591,0,true
mesh,100000000,12,0,1745.814,9,true
serial,100000000,12,1,3993.416,0,true
threads,100000000,12,1,1375.635,0,true
mesh,100000000,12,1,1419.156,8,true
serial,100000000,12,2,4099.759,0,true
threads,100000000,12,2,1403.923,0,true
mesh,100000000,12,2,1478.314,8,true
