mode,customers,tasks,repeat,elapsed_ms,remote,correct
serial,10000,12,0,3.621,0,true
threads,10000,12,0,1.853,0,true
mesh,10000,12,0,13.551,2,true
serial,10000,12,1,2.663,0,true
threads,10000,12,1,1.899,0,true
mesh,10000,12,1,12.644,2,true
serial,10000,12,2,2.312,0,true
threads,10000,12,2,1.360,0,true
mesh,10000,12,2,13.920,2,true
serial,1000000,12,0,61.378,0,true
threads,1000000,12,0,14.192,0,true
mesh,1000000,12,0,37.889,5,true
serial,1000000,12,1,37.206,0,true
threads,1000000,12,1,13.817,0,true
mesh,1000000,12,1,35.800,5,true
serial,1000000,12,2,37.266,0,true
threads,1000000,12,2,13.857,0,true
mesh,1000000,12,2,34.323,6,true
serial,10000000,12,0,370.656,0,true
threads,10000000,12,0,139.634,0,true
mesh,10000000,12,0,197.559,6,true
serial,10000000,12,1,371.844,0,true
threads,10000000,12,1,137.527,0,true
mesh,10000000,12,1,197.459,6,true
serial,10000000,12,2,370.674,0,true
threads,10000000,12,2,139.552,0,true
mesh,10000000,12,2,199.384,6,true
serial,100000000,12,0,3708.331,0,true
threads,100000000,12,0,1373.581,0,true
mesh,100000000,12,0,1967.447,6,true
serial,100000000,12,1,3722.990,0,true
threads,100000000,12,1,1373.661,0,true
mesh,100000000,12,1,1972.566,6,true
serial,100000000,12,2,3713.389,0,true
threads,100000000,12,2,1373.313,0,true
mesh,100000000,12,2,2019.918,7,true
