mode,customers,tasks,repeat,elapsed_ms,remote,correct
serial,10000,12,0,0.938,0,true
threads,10000,12,0,0.585,0,true
mesh,10000,12,0,53.359,2,true
serial,10000,12,1,1.868,0,true
threads,10000,12,1,1.124,0,true
mesh,10000,12,1,44.532,2,true
serial,10000,12,2,1.860,0,true
threads,10000,12,2,0.693,0,true
mesh,10000,12,2,52.437,2,true
serial,1000000,12,0,59.961,0,true
threads,1000000,12,0,21.110,0,true
mesh,1000000,12,0,88.283,2,true
serial,1000000,12,1,41.295,0,true
threads,1000000,12,1,19.020,0,true
mesh,1000000,12,1,94.828,2,true
serial,1000000,12,2,41.998,0,true
threads,1000000,12,2,19.034,0,true
mesh,1000000,12,2,89.799,2,true
serial,10000000,12,0,385.656,0,true
threads,10000000,12,0,199.564,0,true
mesh,10000000,12,0,1428.102,2,true
serial,10000000,12,1,397.971,0,true
threads,10000000,12,1,199.618,0,true
mesh,10000000,12,1,841.744,2,true
serial,10000000,12,2,418.478,0,true
threads,10000000,12,2,200.460,0,true
mesh,10000000,12,2,629.298,2,true
serial,100000000,12,0,3908.991,0,true
threads,100000000,12,0,2067.429,0,true
mesh,100000000,12,0,7145.699,3,true
serial,100000000,12,1,3892.889,0,true
threads,100000000,12,1,2028.622,0,true
mesh,100000000,12,1,6593.722,3,true
serial,100000000,12,2,3922.298,0,true
threads,100000000,12,2,2015.578,0,true
mesh,100000000,12,2,6465.612,3,true
